Precinct,Votes Cast,Andersen,Adam,Enderle,Twedt,Price,Smith,McNamee,Chulack
92000,2652,391,538,69,160,347,153,508,486
92002,223,21,46,8,15,28,22,53,30
92004,2482,392,547,63,140,368,150,463,359
92006,856,90,216,28,17,173,67,187,78
92008,2403,314,569,76,56,380,188,592,228
92010,1211,138,285,46,47,227,72,221,175
92012,1214,193,304,48,23,223,80,223,120
92014,1702,225,378,51,61,332,91,313,251
92016,2031,230,468,114,46,442,100,386,245
92018,1729,205,405,63,36,298,96,429,197
92020,3279,393,766,87,116,775,184,565,393
92026,2718,338,638,101,75,555,207,516,288
92028,2170,226,487,78,64,484,126,424,281
92030,2934,411,741,125,48,539,157,607,306
92034,1087,108,250,35,20,262,50,199,163
92036,1448,221,310,58,53,231,81,238,256
92038,2640,272,628,71,50,583,158,494,384
92042,1550,179,331,54,34,347,94,273,238
92044,951,118,188,33,33,231,47,179,122
92046,3590,445,879,71,122,686,260,673,454
92050,2487,282,598,90,74,472,152,419,400
92052,1181,140,276,28,36,227,68,239,167
92054,2139,252,528,44,74,448,114,366,313
92056,1588,173,415,50,34,330,108,297,181
92060,1466,199,338,81,36,270,95,263,184
92062,376,43,91,12,11,84,22,61,52
92064,2750,319,640,88,83,606,140,536,338
92066,1395,193,304,59,77,213,88,257,204
92068,1896,259,523,64,50,349,137,349,165
92070,1801,185,432,69,52,421,98,302,242
92072,3182,389,832,94,86,674,216,607,284
92076,4747,697,1053,140,216,749,322,960,610
92082,1921,285,540,63,35,323,144,346,185
92086,1486,235,364,51,61,225,110,284,156
92090,2046,278,476,51,78,386,127,360,290
92092,2218,260,544,90,46,492,138,434,214
92094,2182,254,489,62,77,453,154,432,261
92098,2486,276,599,56,63,523,150,494,325
92100,3024,463,717,109,79,555,191,568,342
92104,152,26,33,9,2,21,5,37,19
92108,1363,176,307,46,44,226,91,287,186
92110,2478,366,535,87,103,405,161,462,359
92112,2082,274,520,57,51,409,150,385,236
92114,2701,405,685,102,45,488,248,527,201
92120,659,80,172,23,25,126,39,123,71
92122,778,111,211,34,17,162,44,131,68
92126,3072,324,690,105,88,686,178,635,366
92132,3961,555,919,232,96,657,322,767,413
92136,1948,215,434,49,39,386,137,363,325
92138,3945,501,996,128,100,806,230,792,392
92142,2940,553,708,114,81,418,245,564,257
92146,1163,179,268,31,45,202,91,228,119
92148,130,17,27,6,7,20,10,24,19
92154,1167,156,250,38,33,222,93,235,140
92156,244,46,59,14,6,37,17,50,15
92160,0,0,0,0,0,0,0,0,0
92170,683,55,196,18,20,155,37,118,84
92172,1631,198,384,36,34,347,111,310,211
92174,2943,394,605,109,77,542,174,558,484
92178,488,76,111,17,27,73,36,86,62
92180,8,0,1,0,1,1,1,4,0
92182,710,87,188,18,14,151,43,145,64
92186,383,55,101,11,10,79,33,61,33
